workerid,gender,nativeLanguage,exampleCounterfactual,actionID.1,actionID.2,actionID.3,actionID.4,actionID.5,actionID.6,actionID.7,actionID.8,actionID.9,actionID.10,actionID.11,actionID.12,actionID.13,actionID.14,actionID.15,action.1,action.2,action.3,action.4,action.5,action.6,action.7,action.8,action.9,action.10,action.11,action.12,action.13,action.14,action.15,order.1,order.2,order.3,order.4,order.5,order.6,order.7,order.8,order.9,order.10,order.11,order.12,order.13,order.14,order.15,freeResponsesOrdered.1,freeResponsesOrdered.2,freeResponsesOrdered.3,freeResponsesOrdered.4,freeResponsesOrdered.5,freeResponsesOrdered.6,freeResponsesOrdered.7,freeResponsesOrdered.8,freeResponsesOrdered.9,freeResponsesOrdered.10,freeResponsesOrdered.11,freeResponsesOrdered.12,freeResponsesOrdered.13,freeResponsesOrdered.14,freeResponsesOrdered.15,counterfactualJudgmentsOrdered.1,counterfactualJudgmentsOrdered.2,counterfactualJudgmentsOrdered.3,counterfactualJudgmentsOrdered.4,counterfactualJudgmentsOrdered.5,counterfactualJudgmentsOrdered.6,counterfactualJudgmentsOrdered.7,counterfactualJudgmentsOrdered.8,counterfactualJudgmentsOrdered.9,counterfactualJudgmentsOrdered.10,counterfactualJudgmentsOrdered.11,counterfactualJudgmentsOrdered.12,counterfactualJudgmentsOrdered.13,counterfactualJudgmentsOrdered.14,counterfactualJudgmentsOrdered.15,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6
88,M,english,5,7,5,15,14,3,12,11,13,10,6,2,4,1,8,9,slept,laughed,punched the wall,killed himself,yelled,sat down,relaxed,sighed,frowned,screamed,smiled,jumped,cried,cursed,danced,6,4,14,13,2,11,10,12,9,5,1,3,0,7,8,the movie was sad,he was pleased,the woman far away and couldn't hear him,the mouse startled him,the joke was funny,the pain was unbearable,he was exhausted,he hit his thumb with a hammer,with his sister,he realized they couldn't understand his point of view,the worst part was over,his back hurt,he was exasperated with the toddler,his wife left him for another woman,he was angry,4,5,2,1,4,1,2,2,3,4,4,4,2,3,1,98708,102705,70064,43873,47312,41493
89,M,English,6,8,4,10,11,14,1,3,12,7,13,5,9,15,6,2,cursed,jumped,frowned,relaxed,killed himself,cried,yelled,sat down,slept,sighed,laughed,danced,punched the wall,screamed,smiled,7,3,9,10,13,0,2,11,6,12,4,8,14,5,1,his mind was cluttered,he won the race,he failed his exam,he wanted air.,the joke was funny,he was beat in a race,his eyes were tired,he felt ashamed.,he got a pay raise,his pie was wet.,the day was over.,his feet were tired,the day was exhausting,he was angry.,he was mad at himself,2,6,5,6,2,5,3,3,5,5,2,5,6,1,2,46356,37306,144540,26067,35715,83361
90,F,english,5,6,3,9,14,11,8,15,4,5,1,10,2,12,7,13,screamed,yelled,danced,killed himself,relaxed,cursed,punched the wall,jumped,laughed,cried,frowned,smiled,sat down,slept,sighed,5,2,8,13,10,7,14,3,4,0,9,1,11,6,12,life is sad sometimes,He farted and blamed someone else and they believed him,he was mad,he was listening to van halen,his life is a joke,he hurt himself,there are no tears; just dreams,he got mad,he liked dancing,he lost his job to outsourcing,he was high as a kite,standing was NO LONGER AN OPTION,life was being repetitive,he listened to too many emo cds,the wall said something negative about his birth mother,4,5,6,4,2,2,4,3,3,5,4,3,3,6,2,181217,60805,80174,9735,10184,13074
91,M,english,1,9,6,13,1,7,8,11,10,2,3,12,14,15,4,5,danced,screamed,sighed,cried,slept,cursed,relaxed,frowned,smiled,yelled,sat down,killed himself,punched the wall,jumped,laughed,8,5,12,0,6,7,10,9,1,2,11,13,14,3,4,he was sad, he was happy, he needed help,he was happy,the joke was funny,he was frustrated, he was tired, he was angry,he was happy,he was angry,he wason vacation,his leg hurt,he was relieved,he was depressed,he was angry,1,7,1,3,4,1,7,1,6,2,7,7,4,1,1,39339,41920,42885,26381,32780,29103
92,M,English,2,9,1,5,6,4,2,12,14,7,13,15,8,11,10,3,danced,cried,laughed,screamed,jumped,smiled,sat down,killed himself,slept,sighed,punched the wall,cursed,relaxed,frowned,yelled,8,0,4,5,3,1,11,13,6,12,14,7,10,9,2,he was sad,he was happy,he was mad,he wanted to,he heard something funny,he was mad,he was tired,he was mad,he had happy feet,he was thinking,he wanted to,he was tired,he was warm and cozy,he was stupid,he was mad,3,3,2,3,3,3,2,2,6,2,2,3,3,6,2,52818,53694,62842,45907,39591,14298
93,M,english,4,12,4,13,5,7,9,1,15,10,2,14,3,8,6,11,sat down,jumped,sighed,laughed,slept,danced,cried,punched the wall,frowned,smiled,killed himself,yelled,cursed,screamed,relaxed,11,3,12,4,6,8,0,14,9,1,13,2,7,5,10,hewas sad,he was happy,he was angry,he was happy,it was funny,he was angry,he was tired,he was angry,he was happy,he was bored,he was happy,he wanted to.,she was tired,he was depresssed,he was angry,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,31974,23896,37132,19199,23042,19144
94,F,English,1,14,5,9,10,7,8,15,12,2,6,1,11,4,3,13,killed himself,laughed,danced,frowned,slept,cursed,punched the wall,sat down,smiled,screamed,cried,relaxed,jumped,yelled,sighed,13,4,8,9,6,7,14,11,1,5,0,10,3,2,12,his grandmother passed away,the stranger said hello,his friend was so far away,he saw a snake,his best friend is hilarious,his brother scared him,he worked a 10 hour shift,he hit his thumb on the door,the band was playing his favorite song,his son fell and scraped his knee,his work was finished,he needed to take off his shoes,they lost the game,he couldn't take the pressures of life anymore,he lost his temper,1,4,1,1,5,1,4,3,4,2,2,5,2,4,1,157862,58880,549241,38799,35538,24476
95,F,English,1,15,14,11,5,7,3,1,4,8,13,10,2,12,9,6,punched the wall,killed himself,relaxed,laughed,slept,yelled,cried,jumped,cursed,sighed,frowned,smiled,sat down,danced,screamed,14,13,10,4,6,2,0,3,7,12,9,1,11,8,5,his sister had cancer.,his girlfriend surprised him at work.,his daughter ran into the road.,he saw a spider.,his kids are funny.,his wife was about to back into the garage.,he was exhausted after working out.,he hammered his nail.,he was at ballroom dance lessons.,he forgot what he was thinking about.,he had a beer in hand.,he was ready to eat dinner.,he was tired.,he had taken too many drugs.,his girlfriend broke up with him.,1,5,1,2,4,1,7,2,1,5,6,6,7,4,1,29367,24218,43342,22701,18983,18932
96,F,English,1,13,5,2,1,14,8,10,3,12,6,15,7,9,11,4,sighed,laughed,smiled,cried,killed himself,cursed,frowned,yelled,sat down,screamed,punched the wall,slept,danced,relaxed,jumped,12,4,1,0,13,7,9,2,11,5,14,6,8,10,3,he was stressed about his failing grades.,he received a compliment., he was extremely frustrated.,he was frightened.,he thought Chris Rock was very funny.,he was having a nervous breakdown.,he had stayed up studying all night.,he was angry.,he loved to dance., he had been upset by her far too many times.,he was at home.,his legs hurt.,he was tired of her excuses.,he was depressed.,he was sick of life.,1,3,1,2,1,1,7,1,4,2,6,4,3,4,1,115353,63190,57506,38244,50825,26701
97,M,English,1,2,10,12,9,4,3,6,5,15,11,13,1,14,8,7,smiled,frowned,sat down,danced,jumped,yelled,screamed,laughed,punched the wall,relaxed,sighed,cried,killed himself,cursed,slept,1,9,11,8,3,2,5,4,14,10,12,0,13,7,6,his only son had died.,she was happy.,he wanted the kids to come back to the house for dinner.,he saw a snake in front of him.,he was a sadist and saw what happened to Jacob.,his finger was caught in the saw.,he did do all he could do and was exhausted.,he was taking a very annoying survey. (Editor's note: referenced item is another survey),Sarah asked him to.,he didn't like the daily special.,he had just come home from a hard day's work.,he was tired,he knew this was just one more problem he'd have to deal with.,he couldn't stand the public scrutiny for what he had done.,it isn't socially acceptable to punch your wife.,1,1,1,1,1,1,4,1,1,1,4,4,1,1,1,144014,143698,212753,198220,70478,56298
98,F,English,3,3,7,4,13,9,10,1,11,14,5,2,15,12,8,6,yelled,slept,jumped,sighed,danced,frowned,cried,relaxed,killed himself,laughed,smiled,punched the wall,sat down,cursed,screamed,2,6,3,12,8,9,0,10,13,4,1,14,11,7,5,he was hurt.,he was pleased.,he was mad.,he was startled.,he found the joke to be funny.,he was terrified.,he was tired,he hit his finger with a hammer.,he wanted to impress his lady.,he was sad.,he was finally home.,he was tired.,he was annoyed.,he was taking Rx psych drugs that caused him to do it.,he was furious.,3,2,5,5,3,2,3,5,6,5,5,4,4,1,1,41264,49853,32677,31963,26414,23234
99,M,English,1,14,4,1,5,12,8,6,13,3,7,9,10,15,2,11,killed himself,jumped,cried,laughed,sat down,cursed,screamed,sighed,yelled,slept,danced,frowned,punched the wall,smiled,relaxed,13,3,0,4,11,7,5,12,2,6,8,9,14,1,10,he was sad.,it was a beautiful day.,he saw his fried in another car.,a puddle was in the way.,the movie was funny.,someone was attacking him.,he needed to recharge after a long day of work.,a driver cut him off.,he enjoyed dancing.,he saw a sad child.,he was on break.,he was tired.,he had to stay in traffic.,he was depressed.,he was enraged.,1,4,1,1,1,1,7,3,4,1,4,5,1,1,1,43539,70477,49853,22492,18270,16127
100,F,English,3,12,15,11,5,3,2,6,1,13,4,9,10,7,8,14,sat down,punched the wall,relaxed,laughed,yelled,smiled,screamed,cried,sighed,jumped,danced,frowned,slept,cursed,killed himself,11,14,10,4,2,1,5,0,12,3,8,9,6,7,13,he was sad,he was happy,John made him angry,he was startled,the joke was funny,he was frustrated,he was tired,he was angry,his favorite song came on,he was sad,he had a hard day,he was tired,he was content,he was depressed,he was angry,2,5,3,2,5,3,1,2,3,3,6,5,6,1,1,36733,27040,28207,37526,28665,30934
